driver	mc	wall_seconds	tests	failures
LiveView	1	112	177	0
LiveView	2	62	177	0
LiveView	4	37	177	0
LiveView	8	25	177	0
LiveView	16	23	177	0
Lightpanda V1	1	127	177	0
Lightpanda V1	2	70	177	0
Lightpanda V1	4	46	177	0
Lightpanda V1	8	35	177	0
Lightpanda V1	16	36	177	0
Lightpanda V2	1	100	177	0
Lightpanda V2	2	54	177	0
Lightpanda V2	4	38	177	0
Lightpanda V2	8	25	177	0
Lightpanda V2	16	27	177	0
Chrome CDP V1	1	187	177	0
Chrome CDP V1	2	102	177	0
Chrome CDP V1	4	84	177	0
Chrome CDP V1	8	61	177	0
Chrome CDP V1	16	68	177	0
Chrome CDP V2	1	136	177	0
Chrome CDP V2	2	88	177	0
Chrome CDP V2	4	63	177	0
Chrome CDP V2	8	63	177	0
Chrome CDP V2	16	58	177	0
Chrome BiDi V1	1	405	177	0
Chrome BiDi V1	2	307	177	0
Chrome BiDi V1	4	264	177	1
Chrome BiDi V1	8	198	177	42
Chrome BiDi V1	16	210	177	42
Chrome BiDi V2	1	216	177	0
Chrome BiDi V2	2	132	177	0
Chrome BiDi V2	4	116	177	0
Chrome BiDi V2	8	95	177	0
Chrome BiDi V2	16	92	177	42
